"Louisiana Lift, Inc.","200 Windermere Blvd Alexandria LA 71303","318-448-3877",http://www.lalift.com/
"Louisiana Lift, Inc.","15151 Airline Highway Baton Rouge LA 70879","225-753-5700",http://www.lalift.com/
"Louisiana Lift, Inc.","10299 Airline Hwy. St. Rose LA 70087","504-888-4870",http://www.lalift.com/
"Burke Handling Systems","431 Hwy 49 South, Jackson MS 39218","601-939-6600 / 800-222-5400",http://www.burkehandling.com/
"Associated Supply Company, Inc.","5980 South MLK Pkwy Beaumont, TX 77705","409-212-8100",http://www.ascoeq.com/
"Louisiana Lift, Inc.","6847 Greenwood Dr. Shreveport LA 71133","318-631-5100",http://www.lalift.com/
"Burke Handling Systems","7418 Rt 49 North, Hattisburg MS 39402","601-261-3300 / N/A",http://www.burkehandling.com/
"Hugg & Hall Equipment","1943 South West Avenue, El Dorado AR 71730","870-862-1262 / 888-340-6808",http://www.hugghall.com/
"Burke Handling Systems","3924 Highway 82 West, Leland MS 38756","662-378-9700 / 800-551-4501",http://www.burkehandling.com/
"Associated Supply Company, Inc.","926 N Sam Houston Pkwy E Houston, TX 77032","(281) 987-1990",http://www.ascoeq.com/
"Elite Material Handling","22203 Cypress Slough Drive, Houston TX 77073","281-895-5438",https://www.elitemh.com/
"Associated Supply Company, Inc.","2602 E Front St, Tyler, TX 75702","903-593-0201",http://www.ascoeq.com/
"Louisiana Lift dba Allift","1111 North Beltline Hwy., Mobile AL 36618","251-479-2909",http://www.alliftequipment.com/
"Hugg & Hall Equipment","7201 Scott Hamilton Dr., Little Rock AR 72209","501-562-1262 / 888-340-6808",http://www.hugghall.com/
"Associated Supply Company, Inc.","1875 N. Earl Rudder Fwy Bryan, TX 77803","(979) 779-8942",http://www.ascoeq.com/
