"Delaware Valley Lift Trucks Inc.","1311 Ford Road, Bensalem PA 19020","215-447-0000 / 888-706-5070",http://www.dvlift.com/
"Toyotalift NE","1000 Taylors Lane, Unit 6 NJ 08077","856-303-0235",http://www.toyotaliftne.com/
"A. J. Jersey Inc.","125 St Nicolas Ave, South Plainfield NJ 07080","908-754-7333",http://www.ajjersey.net/
"Liftec, Inc.","124 Sylvania Place, Plainfield NJ 07080","908-769-0034",http://www.liftec.com/
"Forklifts Group Of New York","21 Dixon Ave, Copiague NY 11726","631-810-3600",http://www.forkliftsgroup.com/
"Best Line Equipment","1315 Hausman Road, Allentown PA 18104","484-223-3814 / 866-573-5559",http://www.bestline.com/
"Summit Handling Systems","63 Mall Drive Commack, NY 11725","631-236-4466",https://www.summithandling.com/?utm_source=Doosan&utm_medium=Dealer%20Locator&utm_campaign=Dealer%20Locator
"Alliance Material Handling","509 Hatchery Road, Dover DE 19901","866-264-5438",https://www.alliancemat.com/
"Summit Handling Systems","2500 NY 208 Walden, NY 12586","845-764-8466",https://www.summithandling.com/?utm_source=Doosan&utm_medium=Dealer%20Locator&utm_campaign=Dealer%20Locator
"Summit Handling Systems","11 Defco Park Road North Haven, CT 06473","203-239-5351",https://www.summithandling.com/?utm_source=Doosan&utm_medium=Dealer%20Locator&utm_campaign=Dealer%20Locator
"Best Line Equipment","5120 East Trindle Road, Mechanicsburg PA 17050","800-577-7115",http://www.bestline.com/
"Alliance Material Handling, Inc.","8320 Sherwick Court, Jessup MD 20794","301-497-2600 / 866-264-5438",http://www.alliancemat.com/
"Summit Handling Systems","39 Murphy Road North Franklin, CT 06254","860-642-4377",https://www.summithandling.com/?utm_source=Doosan&utm_medium=Dealer%20Locator&utm_campaign=Dealer%20Locator
"Lift Truck Parts & Service","20 Parkside Drive, West Springfield MA 01089","866-436-7967",http://lifttruckmass.com/
"Best Line Equipment","140 Hawbaker Industrial Drive, State College PA 16803","814-237-9050 / 800-792-0635",http://www.bestline.com/
